Country Name,Passport Score,Passport Rank,Visa Free,eTA,Passport Free,VOA,eVisa,Visa Required,Entry Ban,
Singapore,91.27,1st,160,9,0,26,14,17,0,
Spain,90.6,2nd,107,11,43,28,22,15,0,
France,90.53,3rd,104,12,46,27,22,15,0,
Italy,90.31,4th,106,10,44,28,22,16,0,
Hungary,90.28,5th,100,11,44,31,23,17,0,
Germany,90.27,6th,105,12,43,29,22,15,0,
Austria,90.18,7th,105,10,43,30,21,17,0,
Netherlands,90.1,8th,107,10,43,28,22,16,0,
Switzerland,89.92,9th,102,11,43,32,21,17,0,
Luxembourg,89.91,10th,105,10,43,29,21,18,0,
Ireland,89.87,11th,113,10,32,32,22,17,0,
Belgium,89.82,12th,108,10,43,25,22,18,0,
Poland,89.71,13th,101,12,43,30,22,18,0,
Finland,89.53,14th,105,10,45,27,21,18,0,
Japan,89.37,15th,142,10,0,36,20,18,0,
Sweden,89.27,16th,104,10,46,27,21,18,0,
Czechia,89.26,17th,103,10,43,30,22,18,0,
Denmark,89.21,18th,107,10,42,27,22,18,0,
Portugal,89.16,19th,104,12,43,27,24,16,0,
Norway,89.03,20th,105,10,42,28,22,19,0,
Croatia,88.83,21st,98,6,43,30,26,23,0,
Greece,88.62,22nd,103,10,43,29,24,17,0,
Slovakia,88.55,23rd,100,9,43,33,23,18,0,
Malta,88.38,24th,114,9,31,31,14,27,0,
Lithuania,88.32,25th,100,9,43,32,22,20,0,
Slovenia,88.18,26th,101,9,43,31,22,20,0,
Iceland,88.17,27th,96,10,43,32,24,21,0,
New Zealand,88.13,28th,141,7,0,36,23,19,0,
United Arab Emirates,87.68,29th,133,4,5,19,20,27,2,
Estonia,87.67,30th,97,9,43,35,18,24,0,
Australia,87.55,31st,139,7,0,38,25,17,0,
South Korea,87.4,32nd,140,9,0,36,18,16,7,
Liechtenstein,87.37,33rd,92,11,42,35,21,25,0,
Cyprus,87.11,34th,114,5,31,29,19,28,0,
United Kingdom,87.07,35th,143,10,1,32,21,19,0,
Romania,86.73,36th,111,4,31,30,25,25,0,
Bulgaria,86.48,37th,109,4,31,33,18,31,0,
Latvia,86.48,38th,97,8,43,32,16,30,0,
Canada,86.29,39th,146,6,0,32,21,21,0,
United States,86.2,40th,143,6,0,35,22,19,1,
Chile,85.35,41st,124,11,8,32,26,25,0,
Monaco,85,42nd,127,8,0,40,19,32,0,
San Marino,84.7,43rd,125,9,0,38,15,39,0,
Malaysia,84.07,44th,143,5,0,33,18,25,2,
Andorra,84,45th,122,9,0,40,16,39,0,
Hong Kong,83.89,46th,135,5,0,29,19,38,0,
Argentina,81.86,47th,120,4,9,36,26,31,0,
Brazil,81.41,48th,126,3,8,32,24,33,0,
Brunei,80.46,49th,127,9,0,30,22,38,0,
Uruguay,78.91,50th,113,4,8,30,30,41,0,
Mexico,78.23,51st,123,4,0,31,31,37,0,
Barbados,77.77,52nd,130,2,0,30,14,50,0,
Bahamas,77.75,53rd,125,2,0,32,13,54,0,
Saint Kitts and Nevis,77.68,54th,130,2,0,35,15,44,0,
Israel,76.63,55th,129,7,0,20,29,26,15,
Peru,76.13,56th,97,3,8,34,32,52,0,
Vatican City,76.04,57th,116,3,0,36,15,56,0,
Costa Rica,75.37,58th,117,1,0,38,14,56,0,
Macau,75.32,59th,109,3,1,32,27,54,0,
Panama,74.99,60th,112,2,0,33,29,50,0,
Saint Vincent and the Grenadines,73.76,61st,123,2,0,30,25,46,0,
Paraguay,73.68,62nd,102,3,8,33,31,49,0,
Seychelles,72.8,63rd,124,2,0,29,14,57,0,
Antigua and Barbuda,72.76,64th,123,2,0,29,13,59,0,
Ukraine,72.71,65th,110,3,0,34,31,48,0,
Colombia,72.14,66th,95,4,8,28,37,54,0,
Serbia,71.94,67th,102,3,1,33,29,58,0,
Trinidad and Tobago,71.44,68th,118,5,0,29,27,47,0,
Taiwan,69.46,69th,100,9,0,29,40,47,1,
Mauritius,69.46,70th,118,1,0,27,18,62,0,
El Salvador,69.33,71st,101,3,0,33,31,58,0,
Grenada,69.24,72nd,116,3,0,26,16,65,0,
Guatemala,68.9,73rd,101,3,0,36,19,67,0,
Georgia,68.63,74th,89,2,0,34,28,73,0,
Dominica,67.7,75th,110,3,0,32,23,58,0,
Montenegro,67.19,76th,93,3,1,32,35,62,0,
Saint Lucia,66.81,77th,113,2,0,32,16,63,0,
Honduras,66.03,78th,99,3,0,33,21,70,0,
North Macedonia,65.13,79th,93,2,1,30,35,65,0,
Bosnia and Herzegovina,64.79,80th,88,3,0,32,34,69,0,
Solomon Islands,64.21,81st,100,1,0,32,15,78,0,
Albania,63.88,82nd,87,3,1,30,34,71,0,
Marshall Islands,63.1,83rd,92,2,0,34,29,69,0,
Samoa,62.34,84th,96,1,0,36,15,78,0,
Venezuela,62.01,85th,88,3,0,34,30,71,0,
Nicaragua,61.96,86th,95,2,0,32,11,86,0,
Palau,61.53,87th,83,3,0,35,35,70,0,
Micronesia,61.47,88th,84,3,0,37,31,71,0,
Tonga,61.06,89th,98,2,0,31,11,84,0,
Moldova,60.33,90th,90,2,0,29,30,75,0,
Tuvalu,60,91st,94,1,0,33,10,88,0,
Kiribati,59.81,92nd,91,1,0,33,13,88,0,
Turkey,48.75,93rd,72,4,0,36,22,92,0,
